w4mpro,w4sigmpro,w4snr,w4rchi2,w4mag_1,w4mag_2,w4mag_3,w4mag_4,w4mag_5,w4mag_6,w4mag_7,w4mag_8,w4mag_1_w4mag_2,w4mag_2_w4mag_3,w4mag_3_w4mag_4,w4mag_4_w4mag_5,w4mag_5_w4mag_6,w4mag_6_w4mag_7,w4mag_7_w4mag_8,class
5.028,0.046,23.7,1.148,6.081,5.621,5.334,5.165,5.052,4.944,4.822,4.682,0.45999999999999996,0.2870000000000008,0.1689999999999996,0.11300000000000043,0.10799999999999965,0.12199999999999989,0.13999999999999968,real
2.112,0.019,57.6,0.6683,3.235,2.734,2.441,2.29,2.226,2.197,2.188,2.183,0.5009999999999999,0.29300000000000015,0.1509999999999998,0.06400000000000006,0.028999999999999915,0.008999999999999897,0.0050000000000003375,real
5.332,0.029,38.0,2.008,6.314,5.774,5.467,5.312,5.251,5.229,5.221,5.214,0.54,0.3070000000000004,0.15499999999999936,0.06099999999999994,0.02200000000000024,0.008000000000000007,0.006999999999999673,real
7.812,0.172,6.3,1.088,8.981,8.605,8.353,8.228,8.266,7.446,7.349,7.263,0.37599999999999945,0.25200000000000067,0.125,0.038000000000000256,0.8200000000000003,0.09699999999999953,0.0860000000000003,real
3.089,0.032,33.4,0.6092,4.216,3.733,3.462,3.339,3.314,3.331,3.371,3.424,0.4830000000000001,0.2709999999999999,0.12300000000000022,0.02499999999999991,0.016999999999999904,0.040000000000000036,0.052999999999999936,real
1.236,0.015,74.0,0.9996,2.258,1.767,1.48,1.334,1.273,1.246,1.237,1.234,0.4910000000000001,0.2869999999999999,0.1459999999999999,0.061000000000000165,0.026999999999999913,0.008999999999999897,0.0030000000000001137,real
5.272,0.038,28.2,0.8622,6.369,5.88,5.588,5.432,5.36,5.326,5.322,5.326,0.4889999999999999,0.2919999999999998,0.1559999999999997,0.07200000000000006,0.034000000000000696,0.0039999999999995595,0.0039999999999995595,real
6.328,0.08,13.5,1.015,7.399,6.952,6.714,6.62,6.621,6.647,6.649,6.61,0.44700000000000006,0.23799999999999955,0.0940000000000003,0.001000000000000334,0.0259999999999998,0.0019999999999997797,0.0389999999999997,real
6.866,0.088,12.3,0.9076,7.897,7.38,7.055,6.866,6.775,6.756,6.791,6.851,0.5170000000000003,0.3250000000000002,0.18900000000000006,0.0909999999999993,0.019000000000000128,0.03500000000000014,0.05999999999999961,real
6.418,0.064,17.0,0.7702,7.404,6.857,6.504,6.268,6.103,5.983,5.896,5.841,0.5469999999999997,0.35300000000000065,0.23599999999999977,0.16500000000000004,0.1200000000000001,0.08699999999999974,0.054999999999999716,real
2.53,0.032,34.0,0.3137,3.719,3.19,2.858,2.651,2.53,2.455,2.41,2.377,0.5289999999999999,0.33199999999999985,0.2070000000000003,0.121,0.07499999999999973,0.04499999999999993,0.03300000000000036,real
4.919,0.037,29.1,0.8515,5.968,5.46,5.1,4.785,4.431,3.983,3.502,3.044,0.508,0.3600000000000003,0.3149999999999995,0.3540000000000001,0.44799999999999995,0.4810000000000003,0.45799999999999974,real
7.124,0.125,8.7,0.761,8.179,7.723,7.487,7.394,7.385,7.345,7.221,7.108,0.4560000000000004,0.23599999999999977,0.09299999999999997,0.009000000000000341,0.040000000000000036,0.12399999999999967,0.11300000000000043,real
8.283,0.379,2.9,0.869,9.311,9.025,8.064,7.869,7.681,7.468,7.282,7.125,0.2859999999999996,0.9610000000000003,0.19500000000000028,0.18799999999999972,0.21300000000000008,0.18599999999999994,0.15700000000000003,real
3.645,0.023,48.2,1.23,4.814,4.297,3.963,3.742,3.61,3.534,3.493,3.473,0.5170000000000003,0.33399999999999963,0.22100000000000009,0.13200000000000012,0.07600000000000007,0.040999999999999925,0.020000000000000018,real
2.583,0.023,48.1,12.08,3.66,3.071,2.636,2.294,2.051,1.901,1.811,1.759,0.589,0.43500000000000005,0.3420000000000001,0.24299999999999988,0.15000000000000013,0.09000000000000008,0.052000000000000046,real
6.934,0.106,10.2,0.8445,7.896,7.36,7.028,6.836,6.725,6.624,6.534,6.468,0.5359999999999996,0.33200000000000074,0.19199999999999928,0.11100000000000065,0.10099999999999998,0.08999999999999986,0.06599999999999984,real
5.756,0.042,25.7,0.8686,6.781,6.264,5.954,5.777,5.671,5.602,5.562,5.538,0.5169999999999995,0.3100000000000005,0.1769999999999996,0.10599999999999987,0.06899999999999995,0.040000000000000036,0.02400000000000002,real
6.309,0.06,18.1,0.9513,7.432,6.984,6.688,6.444,6.21,5.945,5.613,5.282,0.4480000000000004,0.29600000000000026,0.24399999999999977,0.23399999999999999,0.2649999999999997,0.33199999999999985,0.3310000000000004,real
8.372,0.459,2.4,0.8892,8.183,7.652,7.394,7.261,7.209,7.237,7.282,7.274,0.5309999999999997,0.258,0.133,0.05200000000000049,0.02800000000000047,0.04499999999999993,0.008000000000000007,real
7.231,0.123,8.8,0.9664,8.274,7.878,7.712,7.686,7.736,7.808,7.776,7.451,0.395999999999999,0.16600000000000037,0.0259999999999998,0.04999999999999982,0.07200000000000006,0.03200000000000003,0.3250000000000002,real
5.453,0.043,25.0,0.7235,6.537,6.042,5.748,5.585,5.508,5.466,5.446,5.436,0.4950000000000001,0.2939999999999996,0.16300000000000026,0.07699999999999996,0.041999999999999815,0.020000000000000462,0.009999999999999787,real
5.606,0.039,27.6,1.042,6.699,6.242,5.993,5.905,5.926,6.002,5.281,5.223,0.45699999999999985,0.24899999999999967,0.08800000000000008,0.020999999999999908,0.07599999999999962,0.7210000000000001,0.05799999999999983,real
5.554,0.039,28.1,1.034,6.557,6.046,5.741,5.57,5.467,5.37,5.232,5.021,0.5110000000000001,0.3050000000000006,0.17099999999999937,0.10300000000000065,0.09699999999999953,0.1379999999999999,0.2110000000000003,real
4.803,0.029,37.0,1.195,5.871,5.37,5.071,4.914,4.842,4.801,4.771,4.74,0.5010000000000003,0.2990000000000004,0.15700000000000003,0.07200000000000006,0.04099999999999948,0.03000000000000025,0.030999999999999694,real
7.635,0.162,6.7,0.9892,7.766,7.311,7.005,6.771,6.578,6.402,6.239,6.083,0.45500000000000007,0.30600000000000005,0.23399999999999999,0.19299999999999962,0.17600000000000016,0.16300000000000026,0.1559999999999997,real
7.382,0.123,8.8,0.9922,8.553,8.029,7.713,7.533,6.659,6.498,6.345,6.173,0.5240000000000009,0.31599999999999984,0.17999999999999972,0.8740000000000006,0.1609999999999996,0.15300000000000047,0.1719999999999997,real
6.248,0.06,18.1,0.8042,7.211,6.656,6.29,6.046,5.867,5.722,5.614,5.535,0.5550000000000006,0.36599999999999966,0.24399999999999977,0.17900000000000027,0.14499999999999957,0.10800000000000054,0.07899999999999974,real
8.55,0.361,3.0,0.9956,8.627,8.15,7.859,7.615,7.436,7.318,7.203,7.082,0.4770000000000003,0.29100000000000037,0.24399999999999977,0.17900000000000027,0.11800000000000033,0.11499999999999932,0.12100000000000044,real
6.017,0.05,21.9,0.9901,7.147,6.719,6.508,6.479,6.582,5.826,5.784,5.705,0.42799999999999994,0.2110000000000003,0.028999999999999915,0.10299999999999976,0.7560000000000002,0.041999999999999815,0.07899999999999974,real
5.861,0.048,22.8,0.7899,7.044,6.569,6.255,6.063,5.956,5.895,5.872,5.843,0.47499999999999964,0.31400000000000006,0.19200000000000017,0.10699999999999932,0.06100000000000083,0.022999999999999687,0.028999999999999915,real
6.988,0.119,9.1,0.8059,7.999,7.484,7.159,6.947,6.809,6.704,6.627,6.587,0.5149999999999997,0.3250000000000002,0.21199999999999974,0.1379999999999999,0.10500000000000043,0.07699999999999996,0.040000000000000036,real
5.353,0.136,8.0,0.9528,6.062,5.676,4.756,4.576,4.385,4.121,3.789,4.102,0.3860000000000001,0.9199999999999999,0.1800000000000006,0.19099999999999984,0.26399999999999935,0.3320000000000003,0.31300000000000017,real
6.236,0.048,22.5,0.8503,7.316,6.847,6.578,6.442,6.392,6.381,6.379,6.365,0.4689999999999994,0.26900000000000013,0.13600000000000012,0.04999999999999982,0.01100000000000012,0.002000000000000668,0.013999999999999346,real
